location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
jinju,,,,1997,Campbell Early,1997-06-01,152
jinju,,,,1998,Campbell Early,1998-05-18,138
jinju,,,,1999,Campbell Early,1999-05-26,146
jinju,,,,2000,Campbell Early,2000-05-28,149
jinju,,,,2001,Campbell Early,2001-05-22,142
jinju,,,,2002,Campbell Early,2002-05-13,133
jinju,,,,2003,Campbell Early,2003-05-26,146
jinju,,,,2004,Campbell Early,2004-05-20,141
jinju,,,,2005,Campbell Early,2005-05-16,136
jinju,,,,2006,Campbell Early,2006-06-04,155
jinju,,,,2007,Campbell Early,2007-05-28,148
jinju,,,,2008,Campbell Early,2008-06-02,154
jinju,,,,2013,Campbell Early,2013-05-23,143
jinju,,,,2015,Campbell Early,2015-05-23,143
jinju,,,,2016,Campbell Early,2016-05-11,132
jinju,,,,2017,Campbell Early,2017-05-14,134
jinju,,,,2018,Campbell Early,2018-05-15,135
jinju,,,,2019,Campbell Early,2019-05-13,133
jinju,,,,2020,Campbell Early,2020-05-21,142
jinju,,,,2021,Campbell Early,2021-05-10,130
jinju,,,,2022,Campbell Early,2022-05-06,126
jinju,,,,2023,Campbell Early,2023-05-11,131
jinju,,,,2024,Campbell Early,2024-05-27,148
