location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
jinju,,,,1998,Kyoho,1998-05-23,143
jinju,,,,1999,Kyoho,1999-06-04,155
jinju,,,,2000,Kyoho,2000-06-05,157
jinju,,,,2001,Kyoho,2001-06-01,152
jinju,,,,2002,Kyoho,2002-06-04,155
jinju,,,,2003,Kyoho,2003-06-03,154
jinju,,,,2004,Kyoho,2004-06-01,153
jinju,,,,2005,Kyoho,2005-05-27,147
jinju,,,,2006,Kyoho,2006-06-04,155
jinju,,,,2007,Kyoho,2007-05-28,148
jinju,,,,2008,Kyoho,2008-06-02,154
jinju,,,,2013,Kyoho,2013-05-29,149
jinju,,,,2015,Kyoho,2015-05-26,146
jinju,,,,2016,Kyoho,2016-05-15,136
jinju,,,,2017,Kyoho,2017-05-15,135
jinju,,,,2018,Kyoho,2018-05-20,140
jinju,,,,2019,Kyoho,2019-05-20,140
jinju,,,,2020,Kyoho,2020-05-25,146
jinju,,,,2021,Kyoho,2021-05-17,137
jinju,,,,2022,Kyoho,2022-05-18,138
jinju,,,,2023,Kyoho,2023-05-15,135
jinju,,,,2024,Kyoho,2024-05-20,141
