location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
naju,,,,1997,Campbell Early,1997-06-01,152
naju,,,,1999,Campbell Early,1999-05-26,146
naju,,,,2000,Campbell Early,2000-06-02,154
naju,,,,2001,Campbell Early,2001-05-25,145
naju,,,,2002,Campbell Early,2002-05-25,145
naju,,,,2003,Campbell Early,2003-05-23,143
naju,,,,2004,Campbell Early,2004-05-27,148
naju,,,,2005,Campbell Early,2005-05-28,148
naju,,,,2006,Campbell Early,2006-05-29,149
naju,,,,2007,Campbell Early,2007-06-02,153
naju,,,,2008,Campbell Early,2008-05-29,150
naju,,,,2013,Campbell Early,2013-05-29,149
naju,,,,2015,Campbell Early,2015-05-23,143
naju,,,,2016,Campbell Early,2016-05-18,139
naju,,,,2017,Campbell Early,2017-05-22,142
naju,,,,2018,Campbell Early,2018-05-14,134
naju,,,,2019,Campbell Early,2019-05-23,143
naju,,,,2020,Campbell Early,2020-06-01,153
naju,,,,2021,Campbell Early,2021-05-19,139
naju,,,,2022,Campbell Early,2022-05-20,140
naju,,,,2023,Campbell Early,2023-05-20,140
naju,,,,2024,Campbell Early,2024-05-24,145
