location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
naju,,,,1999,Kyoho,1999-06-04,155
naju,,,,2000,Kyoho,2000-06-03,155
naju,,,,2001,Kyoho,2001-05-28,148
naju,,,,2002,Kyoho,2002-05-29,149
naju,,,,2003,Kyoho,2003-05-28,148
naju,,,,2005,Kyoho,2005-06-02,153
naju,,,,2006,Kyoho,2006-06-01,152
naju,,,,2007,Kyoho,2007-06-03,154
naju,,,,2008,Kyoho,2008-05-30,151
naju,,,,2015,Kyoho,2015-05-26,146
naju,,,,2016,Kyoho,2016-05-26,147
naju,,,,2017,Kyoho,2017-05-26,146
naju,,,,2018,Kyoho,2018-05-20,140
naju,,,,2019,Kyoho,2019-05-26,146
naju,,,,2020,Kyoho,2020-06-05,157
naju,,,,2021,Kyoho,2021-06-01,152
naju,,,,2022,Kyoho,2022-05-28,148
naju,,,,2023,Kyoho,2023-05-22,142
naju,,,,2024,Kyoho,2024-05-29,150
