location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
okcheon,,,,1999,Kyoho,1999-06-04,155
okcheon,,,,2002,Kyoho,2002-05-30,150
okcheon,,,,2003,Kyoho,2003-06-07,158
okcheon,,,,2004,Kyoho,2004-06-04,156
okcheon,,,,2005,Kyoho,2005-06-05,156
okcheon,,,,2006,Kyoho,2006-06-06,157
okcheon,,,,2007,Kyoho,2007-06-04,155
okcheon,,,,2008,Kyoho,2008-06-03,155
okcheon,,,,2013,Kyoho,2013-06-01,152
okcheon,,,,2015,Kyoho,2015-05-28,148
okcheon,,,,2016,Kyoho,2016-05-27,148
okcheon,,,,2017,Kyoho,2017-05-31,151
okcheon,,,,2018,Kyoho,2018-05-29,149
okcheon,,,,2019,Kyoho,2019-05-27,147
okcheon,,,,2020,Kyoho,2020-06-04,156
okcheon,,,,2021,Kyoho,2021-05-31,151
okcheon,,,,2022,Kyoho,2022-05-27,147
okcheon,,,,2023,Kyoho,2023-05-25,145
okcheon,,,,2024,Kyoho,2024-05-21,142
